dataset,method,feature_index,feature,n_real,n_synthetic,real_mean,synthetic_mean,mean_difference,t_statistic,p_value,ks_statistic,p_below_0_05
HIV,Column-wise,30,V4_Saliva_IgGRBD,91,91,34.03445494174957,32.20439574482677,-1.830059196922804,0.3386437034592692,0.7352729196690067,0.0989010989010989,False
HIV,Column-wise,31,V5_Saliva_IgGspike,91,91,145.75231281021138,161.27869424715146,15.526381436940085,-0.9182298185512586,0.3597486827958756,0.0659340659340659,False
HIV,Column-wise,32,V5_Saliva_IgGRBD,91,91,153.54405279473943,158.90790512797597,5.363852333236537,-0.2602678090692654,0.7949549200493707,0.0549450549450549,False
HIV,Column-wise,33,V8_Saliva_IgGspike,91,91,125.64155031200292,117.74463533045171,-7.89691498155122,0.5987405163996194,0.5500989767694867,0.0989010989010989,False
HIV,Column-wise,34,V8_Saliva_IgGRBD,91,91,122.48972522295438,116.41754376757277,-6.0721814553816245,0.4375556792155323,0.6622362641853979,0.0659340659340659,False
HIV,Column-wise,35,V8b_Saliva_IgGspike,91,91,338.2158605004405,344.14460657979106,5.92874607935056,-0.3761274592813347,0.7072653261252309,0.1098901098901098,False
HIV,Column-wise,36,V8b_Saliva_IgGRBD,91,91,398.5726685543637,396.1769769237592,-2.3956916306044604,0.1249173864747666,0.9007286129518608,0.0439560439560439,False
HIV,Column-wise,37,V9_Saliva_IgGspike,91,91,223.05881720666704,208.66333156627613,-14.395485640390888,0.8670853707307048,0.3870556837571849,0.1208791208791208,False
HIV,Column-wise,38,V9_Saliva_IgGRBD,91,91,255.26088198462685,292.1360487990327,36.87516681440587,-1.4451899380243576,0.1501437656331599,0.1318681318681318,False
HIV,Column-wise,39,V4_Saliva_IgAspike,91,91,47.108007475570005,45.86472897215204,-1.2432785034179688,0.3010644271021,0.7637287241827405,0.0769230769230769,False
HIV,Column-wise,40,V4_Saliva_IgARBD,91,91,43.100691578545415,43.04655600838609,-0.0541355701593246,0.0146480104099131,0.9883300505256428,0.1098901098901098,False
