dataset,method,n_features_removed,percent_removed,auc_mean,auc_sd
HIV,SMOTE,52,82.53968253968254,0.7051512287334594,0.04536219531541377
HIV,SMOTE,61,96.82539682539682,0.6240075614366729,0.05972353380302495
HIV,GMM-guided SMOTE,0,0.0,0.5615311909262759,0.05209637467261966
HIV,GMM-guided SMOTE,9,14.285714285714286,0.6197069943289224,0.053668620986958473
HIV,GMM-guided SMOTE,17,26.984126984126984,0.6251890359168242,0.05181918516217813
HIV,GMM-guided SMOTE,26,41.26984126984127,0.6314744801512286,0.052300041375227
HIV,GMM-guided SMOTE,35,55.55555555555556,0.643478260869565,0.05277167093889809
HIV,GMM-guided SMOTE,44,69.84126984126983,0.6469281663516068,0.05244637478736546
HIV,GMM-guided SMOTE,52,82.53968253968254,0.6779300567107751,0.05017726429151074
HIV,GMM-guided SMOTE,61,96.82539682539682,0.5655954631379962,0.048069978934625286
HIV,CVAE,0,0.0,0.9997164461247637,0.0009016438576719585
HIV,CVAE,9,14.285714285714286,0.9832703213610587,0.01596514359961983
HIV,CVAE,17,26.984126984126984,0.9563327032136104,0.030561033915185918
HIV,CVAE,26,41.26984126984127,0.9300567107750475,0.03783198619316315
HIV,CVAE,35,55.55555555555556,0.91351606805293,0.045042046902718756
HIV,CVAE,44,69.84126984126983,0.8734877126654064,0.05073798927632927
HIV,CVAE,52,82.53968253968254,0.7869092627599243,0.06549247143064944
HIV,CVAE,61,96.82539682539682,0.6435255198487712,0.06659678941868259
Breast Cancer,Bootstrap,0,0.0,0.7149684822220035,0.017665296813737012
Breast Cancer,Bootstrap,4,13.333333333333334,0.7197207721855609,0.01699910704572787
Breast Cancer,Bootstrap,8,26.666666666666668,0.7219196296661086,0.019117260865987737
Breast Cancer,Bootstrap,12,40.0,0.7246257263862896,0.017524857242494935
Breast Cancer,Bootstrap,16,53.333333333333336,0.727102826750714,0.015084732678174952
Breast Cancer,Bootstrap,20,66.66666666666667,0.7295503791982667,0.015665398195530193
Breast Cancer,Bootstrap,24,80.0,0.7268713680685512,0.017869145480463255
Breast Cancer,Bootstrap,28,93.33333333333333,0.723944893135034,0.01982300805128262
Breast Cancer,Column-wise,0,0.0,0.9996700482615977,0.0003200456048170741
Breast Cancer,Column-wise,4,13.333333333333334,0.997020585048754,0.002326501060172809
Breast Cancer,Column-wise,8,26.666666666666668,0.9912759775435831,0.0042843566695548625
Breast Cancer,Column-wise,12,40.0,0.9837917364325813,0.006219501529358846
Breast Cancer,Column-wise,16,53.333333333333336,0.9632559342066382,0.01180613456256061
Breast Cancer,Column-wise,20,66.66666666666667,0.9055094553333989,0.01654999253680416
Breast Cancer,Column-wise,24,80.0,0.8378964345513642,0.018357798970476846
Breast Cancer,Column-wise,28,93.33333333333333,0.6063491086378411,0.02426090419293238
Breast Cancer,GMM,0,0.0,0.9928888013395054,0.0035034725647647685
Breast Cancer,GMM,4,13.333333333333334,0.8867243671821138,0.01365787729354752
Breast Cancer,GMM,8,26.666666666666668,0.7558775731310943,0.02287947149734036
Breast Cancer,GMM,12,40.0,0.6997870087658821,0.022004820537508282
Breast Cancer,GMM,16,53.333333333333336,0.6257362355953905,0.02984388809547937
Breast Cancer,GMM,20,66.66666666666667,0.5839419383433467,0.030213127768394937
Breast Cancer,GMM,24,80.0,0.5661873337929676,0.025353061380999055
Breast Cancer,GMM,28,93.33333333333333,0.5497993203979119,0.01919126123643769
Breast Cancer,SMOTE,0,0.0,0.549340096523195,0.028835921343561895
Breast Cancer,SMOTE,4,13.333333333333334,0.5687801634984733,0.030074433882531178
Breast Cancer,SMOTE,8,26.666666666666668,0.5814968482222003,0.030724447598925814
Breast Cancer,SMOTE,12,40.0,0.5975068945139369,0.030261554233095712
Breast Cancer,SMOTE,16,53.333333333333336,0.6176450310253128,0.03258657929591257
Breast Cancer,SMOTE,20,66.66666666666667,0.6436779769526249,0.028466499121229474
Breast Cancer,SMOTE,24,80.0,0.7007854821235103,0.02401835786864315
Breast Cancer,SMOTE,28,93.33333333333333,0.6695213237466758,0.024294821965678674
Breast Cancer,GMM-guided SMOTE,0,0.0,0.5647690337831183,0.030494560465341013
Breast Cancer,GMM-guided SMOTE,4,13.333333333333334,0.5842337240224564,0.026910892361118748
Breast Cancer,GMM-guided SMOTE,8,26.666666666666668,0.5949805476213927,0.025455806525966122
Breast Cancer,GMM-guided SMOTE,12,40.0,0.6069609967497291,0.02687684699287904
Breast Cancer,GMM-guided SMOTE,16,53.333333333333336,0.6251563577267802,0.023074112820463333
