dataset,method,repeat,tstr_f1,trtr_f1
Breast Cancer,GMM,3,0.9593267882187938,0.9721019255727505
Breast Cancer,GMM,4,0.9563994374120957,0.9653388938833949
Breast Cancer,GMM,5,0.9592123769338959,0.9651268184702835
Breast Cancer,GMM,6,0.9565217391304348,0.9760991556439162
Breast Cancer,GMM,7,0.9563994374120957,0.966544694946722
Breast Cancer,GMM,8,0.9578651685393258,0.9667799902865468
Breast Cancer,GMM,9,0.9592123769338959,0.9696248109727529
Breast Cancer,GMM,10,0.9563994374120957,0.9679932432166384
Breast Cancer,GMM,11,0.9563994374120957,0.9708713059980912
Breast Cancer,GMM,12,0.9565217391304348,0.9664538468160264
Breast Cancer,GMM,13,0.9565217391304348,0.9679659653137277
Breast Cancer,GMM,14,0.957983193277311,0.9707574934276237
Breast Cancer,GMM,15,0.9565217391304348,0.9705158896269095
Breast Cancer,GMM,16,0.9578651685393258,0.9705801880897432
Breast Cancer,GMM,17,0.9565217391304348,0.9677908494049359
Breast Cancer,GMM,18,0.9551820728291317,0.9708620689655172
Breast Cancer,GMM,19,0.9577464788732394,0.9666815530600982
Breast Cancer,SMOTE,0,0.9875173370319001,0.9693090695899409
Breast Cancer,SMOTE,1,0.9861111111111112,0.9708217339834629
Breast Cancer,SMOTE,2,0.9833795013850416,0.9693457004384639
Breast Cancer,SMOTE,3,0.984743411927878,0.9721019255727505
Breast Cancer,SMOTE,4,0.9833333333333333,0.9653388938833949
Breast Cancer,SMOTE,5,0.9819694868238558,0.9651268184702835
Breast Cancer,SMOTE,6,0.984743411927878,0.9760991556439162
Breast Cancer,SMOTE,7,0.984743411927878,0.966544694946722
Breast Cancer,SMOTE,8,0.9861111111111112,0.9667799902865468
Breast Cancer,SMOTE,9,0.984743411927878,0.9696248109727529
Breast Cancer,SMOTE,10,0.9833333333333333,0.9679932432166384
Breast Cancer,SMOTE,11,0.984743411927878,0.9708713059980912
Breast Cancer,SMOTE,12,0.9860724233983287,0.9664538468160264
Breast Cancer,SMOTE,13,0.9833333333333333,0.9679659653137277
Breast Cancer,SMOTE,14,0.9847009735744089,0.9707574934276237
Breast Cancer,SMOTE,15,0.984743411927878,0.9705158896269095
Breast Cancer,SMOTE,16,0.984743411927878,0.9705801880897432
Breast Cancer,SMOTE,17,0.9819694868238558,0.9677908494049359
Breast Cancer,SMOTE,18,0.9819694868238558,0.9708620689655172
Breast Cancer,SMOTE,19,0.9833795013850416,0.9666815530600982
Breast Cancer,GMM-guided SMOTE,0,0.9666666666666667,0.9693090695899409
Breast Cancer,GMM-guided SMOTE,1,0.9722222222222222,0.9708217339834629
Breast Cancer,GMM-guided SMOTE,2,0.9680998613037448,0.9693457004384639
Breast Cancer,GMM-guided SMOTE,3,0.9694444444444444,0.9721019255727505
Breast Cancer,GMM-guided SMOTE,4,0.9707927677329624,0.9653388938833949
Breast Cancer,GMM-guided SMOTE,5,0.9707927677329624,0.9651268184702835
Breast Cancer,GMM-guided SMOTE,6,0.9722222222222222,0.9760991556439162
Breast Cancer,GMM-guided SMOTE,7,0.9707112970711297,0.966544694946722
Breast Cancer,GMM-guided SMOTE,8,0.9707927677329624,0.9667799902865468
Breast Cancer,GMM-guided SMOTE,9,0.9693593314763231,0.9696248109727529
Breast Cancer,GMM-guided SMOTE,10,0.9694444444444444,0.9679932432166384
Breast Cancer,GMM-guided SMOTE,11,0.9694444444444444,0.9708713059980912
Breast Cancer,GMM-guided SMOTE,12,0.9735744089012517,0.9664538468160264
Breast Cancer,GMM-guided SMOTE,13,0.9693593314763231,0.9679659653137277
Breast Cancer,GMM-guided SMOTE,14,0.9694444444444444,0.9707574934276237
Breast Cancer,GMM-guided SMOTE,15,0.9680111265646731,0.9705158896269095
Breast Cancer,GMM-guided SMOTE,16,0.9707927677329624,0.9705801880897432
Breast Cancer,GMM-guided SMOTE,17,0.9707112970711297,0.9677908494049359
Breast Cancer,GMM-guided SMOTE,18,0.9735744089012517,0.9708620689655172
Breast Cancer,GMM-guided SMOTE,19,0.9694444444444444,0.9666815530600982
Breast Cancer,CVAE,0,0.9627586206896551,0.9693090695899409
Breast Cancer,CVAE,1,0.9614325068870524,0.9708217339834629
Breast Cancer,CVAE,2,0.9573590096286108,0.9693457004384639
Breast Cancer,CVAE,3,0.9574759945130316,0.9721019255727505
Breast Cancer,CVAE,4,0.9627586206896551,0.9653388938833949
Breast Cancer,CVAE,5,0.9614325068870524,0.9651268184702835
Breast Cancer,CVAE,6,0.9629629629629629,0.9760991556439162
Breast Cancer,CVAE,7,0.9601100412654745,0.966544694946722
Breast Cancer,CVAE,8,0.9587912087912088,0.9667799902865468
Breast Cancer,CVAE,9,0.9586776859504132,0.9696248109727529
Breast Cancer,CVAE,10,0.9601100412654745,0.9679932432166384
Breast Cancer,CVAE,11,0.9613259668508287,0.9708713059980912
Breast Cancer,CVAE,12,0.9627586206896551,0.9664538468160264
Breast Cancer,CVAE,13,0.9614325068870524,0.9679659653137277
Breast Cancer,CVAE,14,0.9628610729023384,0.9707574934276237
Breast Cancer,CVAE,15,0.9602194787379973,0.9705158896269095
Breast Cancer,CVAE,16,0.9627586206896551,0.9705801880897432
Breast Cancer,CVAE,17,0.9627586206896551,0.9677908494049359
Breast Cancer,CVAE,18,0.96,0.9708620689655172
Breast Cancer,CVAE,19,0.9614325068870524,0.9666815530600982
Diabetes,Bootstrap,0,0.8587570621468926,0.6359960861930593
Diabetes,Bootstrap,1,0.8544423440453687,0.6296346279644762
Diabetes,Bootstrap,2,0.8587570621468926,0.6210862729012853
Diabetes,Bootstrap,3,0.8657844990548205,0.6451070392839708
Diabetes,Bootstrap,4,0.8598484848484849,0.6362267885082725
Diabetes,Bootstrap,5,0.8603773584905661,0.6255585478845398
Diabetes,Bootstrap,6,0.8566037735849057,0.6435508539302139
Diabetes,Bootstrap,7,0.8528301886792453,0.6159927967683466
Diabetes,Bootstrap,8,0.8549905838041432,0.649232335415272
Diabetes,Bootstrap,9,0.8593155893536122,0.6348353685070081
Diabetes,Bootstrap,10,0.8517110266159695,0.6365191768940761
Diabetes,Bootstrap,11,0.8560606060606061,0.6275005117364929
Diabetes,Bootstrap,12,0.8560606060606061,0.6172505397693369
Diabetes,Bootstrap,13,0.8587570621468926,0.6337125422251281
Diabetes,Bootstrap,14,0.8587570621468926,0.6279664995529702
Diabetes,Bootstrap,15,0.8544423440453687,0.6291838540516805
Diabetes,Bootstrap,16,0.8582230623818525,0.6008207399687338
Diabetes,Bootstrap,17,0.8598484848484849,0.6181328578875844
Diabetes,Bootstrap,18,0.8500948766603416,0.6274351146454851
Diabetes,Bootstrap,19,0.8528301886792453,0.6365643879667371
Diabetes,Column-wise,0,0.6527514231499051,0.6359960861930593
Diabetes,Column-wise,1,0.6564885496183206,0.6296346279644762
Diabetes,Column-wise,2,0.6565464895635673,0.6210862729012853
Diabetes,Column-wise,3,0.6590909090909091,0.6451070392839708
Diabetes,Column-wise,4,0.665406427221172,0.6362267885082725
Diabetes,Column-wise,5,0.6716981132075471,0.6255585478845398
Diabetes,Column-wise,6,0.6604127579737336,0.6435508539302139
Diabetes,Column-wise,7,0.6666666666666666,0.6159927967683466
Diabetes,Column-wise,8,0.6679245283018868,0.649232335415272
Diabetes,Column-wise,9,0.6666666666666666,0.6348353685070081
Diabetes,Column-wise,10,0.6679174484052532,0.6365191768940761
Diabetes,Column-wise,11,0.6641651031894934,0.6275005117364929
Diabetes,Column-wise,12,0.6654135338345865,0.6172505397693369
Diabetes,Column-wise,13,0.6679174484052532,0.6337125422251281
Diabetes,Column-wise,14,0.6704331450094162,0.6279664995529702
Diabetes,Column-wise,15,0.6654135338345865,0.6291838540516805
Diabetes,Column-wise,16,0.6666666666666666,0.6008207399687338
Diabetes,Column-wise,17,0.6578449905482041,0.6181328578875844
Diabetes,Column-wise,18,0.659047619047619,0.6274351146454851
Diabetes,Column-wise,19,0.6641509433962264,0.6365643879667371
Diabetes,GMM,0,0.6599597585513078,0.6359960861930593
Diabetes,GMM,1,0.6517311608961304,0.6296346279644762
Diabetes,GMM,2,0.6585365853658537,0.6210862729012853
Diabetes,GMM,3,0.6639676113360324,0.6451070392839708
Diabetes,GMM,4,0.6612903225806451,0.6362267885082725
Diabetes,GMM,5,0.6519114688128773,0.6255585478845398
Diabetes,GMM,6,0.6544715447154471,0.6435508539302139
Diabetes,GMM,7,0.657258064516129,0.6159927967683466
Diabetes,GMM,8,0.6639511201629328,0.649232335415272
Diabetes,GMM,9,0.6558704453441295,0.6348353685070081
Diabetes,GMM,10,0.6532258064516129,0.6365191768940761
Diabetes,GMM,11,0.6653225806451613,0.6275005117364929
Diabetes,GMM,12,0.6519114688128773,0.6172505397693369
Diabetes,GMM,13,0.648870636550308,0.6337125422251281
Diabetes,GMM,14,0.6558044806517311,0.6279664995529702
Diabetes,GMM,15,0.6733466933867736,0.6291838540516805
Diabetes,GMM,16,0.6504065040650406,0.6008207399687338
Diabetes,GMM,17,0.6626262626262627,0.6181328578875844
Diabetes,GMM,18,0.6546184738955824,0.6274351146454851
Diabetes,GMM,19,0.656,0.6365643879667371
Diabetes,SMOTE,0,0.7692307692307693,0.6359960861930593
Diabetes,SMOTE,1,0.7575150300601202,0.6296346279644762
Diabetes,SMOTE,2,0.7595959595959596,0.6210862729012853
Diabetes,SMOTE,3,0.7565392354124748,0.6451070392839708
Diabetes,SMOTE,4,0.7565392354124748,0.6362267885082725
Diabetes,SMOTE,5,0.7555555555555555,0.6255585478845398
Diabetes,SMOTE,6,0.7605633802816901,0.6435508539302139
Diabetes,SMOTE,7,0.76,0.6159927967683466
Diabetes,SMOTE,8,0.7645875251509054,0.649232335415272
Diabetes,SMOTE,9,0.7649402390438247,0.6348353685070081
