dataset,method,run,separability_auc
HIV,CVAE,32,0.9943289224952742
HIV,CVAE,33,0.998109640831758
HIV,CVAE,34,1.0
HIV,CVAE,35,0.9924385633270322
HIV,CVAE,36,0.998109640831758
HIV,CVAE,37,1.0
HIV,CVAE,38,1.0
HIV,CVAE,39,0.996219281663516
HIV,CVAE,40,0.998109640831758
HIV,CVAE,41,1.0
HIV,CVAE,42,1.0
HIV,CVAE,43,1.0
HIV,CVAE,44,1.0
HIV,CVAE,45,1.0
HIV,CVAE,46,1.0
HIV,CVAE,47,1.0
HIV,CVAE,48,0.998109640831758
HIV,CVAE,49,1.0
Breast Cancer,Bootstrap,0,0.7306461144489313
Breast Cancer,Bootstrap,1,0.7322220033487639
Breast Cancer,Bootstrap,2,0.7136806855116714
Breast Cancer,Bootstrap,3,0.7109228799369645
Breast Cancer,Bootstrap,4,0.694277553432483
Breast Cancer,Bootstrap,5,0.729661183886536
Breast Cancer,Bootstrap,6,0.7173495518565941
Breast Cancer,Bootstrap,7,0.693440362454447
Breast Cancer,Bootstrap,8,0.7280852949867034
Breast Cancer,Bootstrap,9,0.7237516005121638
Breast Cancer,Bootstrap,10,0.7255490987885354
Breast Cancer,Bootstrap,11,0.6988328572835615
Breast Cancer,Bootstrap,12,0.6962720378213336
Breast Cancer,Bootstrap,13,0.7253767359401162
Breast Cancer,Bootstrap,14,0.6907071801437998
Breast Cancer,Bootstrap,15,0.7043484684329755
Breast Cancer,Bootstrap,16,0.7438934305131488
Breast Cancer,Bootstrap,17,0.7298335467349552
Breast Cancer,Bootstrap,18,0.6851915689943859
Breast Cancer,Bootstrap,19,0.7337486457204767
Breast Cancer,Bootstrap,20,0.6855116714271643
Breast Cancer,Bootstrap,21,0.7288732394366197
Breast Cancer,Bootstrap,22,0.6948685117699203
Breast Cancer,Bootstrap,23,0.7152319511474441
Breast Cancer,Bootstrap,24,0.7144193834334679
Breast Cancer,Bootstrap,25,0.7079927115138382
Breast Cancer,Bootstrap,26,0.7282822810991825
Breast Cancer,Bootstrap,27,0.7757066876785187
Breast Cancer,Bootstrap,28,0.7001378902787353
Breast Cancer,Bootstrap,29,0.6754161331626121
Breast Cancer,Bootstrap,30,0.7268295085196493
Breast Cancer,Bootstrap,31,0.6861764995567813
Breast Cancer,Bootstrap,32,0.6829754752289964
Breast Cancer,Bootstrap,33,0.7290209790209791
Breast Cancer,Bootstrap,34,0.7181374963065104
Breast Cancer,Bootstrap,35,0.7520437309169704
Breast Cancer,Bootstrap,36,0.7123264059883778
Breast Cancer,Bootstrap,37,0.7257953314291343
Breast Cancer,Bootstrap,38,0.7053580222594307
Breast Cancer,Bootstrap,39,0.6959026888604354
Breast Cancer,Bootstrap,40,0.6749236678814143
Breast Cancer,Bootstrap,41,0.6876538954003744
Breast Cancer,Bootstrap,42,0.7235792376637447
Breast Cancer,Bootstrap,43,0.7182606126268098
Breast Cancer,Bootstrap,44,0.7062690830296464
Breast Cancer,Bootstrap,45,0.7191716733970255
Breast Cancer,Bootstrap,46,0.7729242588397518
Breast Cancer,Bootstrap,47,0.7228405397419482
Breast Cancer,Bootstrap,48,0.7201812272234808
Breast Cancer,Bootstrap,49,0.6795528415246725
Breast Cancer,Column-wise,0,0.9991874322860238
Breast Cancer,Column-wise,1,0.9998522604156408
Breast Cancer,Column-wise,2,0.9995075347188024
Breast Cancer,Column-wise,3,0.9998522604156408
Breast Cancer,Column-wise,4,0.9996552743031616
Breast Cancer,Column-wise,5,1.0
Breast Cancer,Column-wise,6,0.9997291440953412
Breast Cancer,Column-wise,7,0.9994090416625628
Breast Cancer,Column-wise,8,0.9988673298532452
Breast Cancer,Column-wise,9,1.0
Breast Cancer,Column-wise,10,0.9998522604156408
Breast Cancer,Column-wise,11,0.9994582881906826
Breast Cancer,Column-wise,12,0.999606027775042
Breast Cancer,Column-wise,13,0.9998030138875208
Breast Cancer,Column-wise,14,0.9997291440953412
Breast Cancer,Column-wise,15,0.9996552743031616
Breast Cancer,Column-wise,16,1.0
Breast Cancer,Column-wise,17,0.9996552743031616
Breast Cancer,Column-wise,18,1.0
Breast Cancer,Column-wise,19,0.9998030138875208
Breast Cancer,Column-wise,20,0.9994582881906826
Breast Cancer,Column-wise,21,0.9990643159657244
Breast Cancer,Column-wise,22,0.9998030138875208
Breast Cancer,Column-wise,23,0.9999507534718804
Breast Cancer,Column-wise,24,0.9998522604156408
Breast Cancer,Column-wise,25,0.9997537673594012
