dataset,method,n_features_removed,percent_removed,auc_mean,auc_sd
Diabetes,Column-wise,2,25.0,0.7495795355902777,0.01025390625
Diabetes,Column-wise,3,37.5,0.67236328125,0.002373589409722099
Diabetes,Column-wise,4,50.0,0.6647203233506944,0.010437011718750056
Diabetes,Column-wise,5,62.5,0.5634833441840278,0.01805962456597221
Diabetes,Column-wise,6,75.0,0.5134345160590278,0.00758870442708337
Diabetes,GMM,0,0.0,0.9800211588541666,0.00322808159722221
Diabetes,GMM,1,12.5,0.9557562934027779,0.003133138020833315
Diabetes,GMM,2,25.0,0.9134182400173612,0.01127794053819453
Diabetes,GMM,3,37.5,0.8555162217881945,0.02040608723958337
Diabetes,GMM,4,50.0,0.8103027343749999,0.00725640190972221
Diabetes,GMM,5,62.5,0.7807752821180556,0.0007459852430555247
Diabetes,GMM,6,75.0,0.6380818684895833,0.0017564561631944753
Diabetes,SMOTE,0,0.0,0.701416015625,0.01694064670138884
Diabetes,SMOTE,1,12.5,0.5707939995659722,0.01003011067708337
Diabetes,SMOTE,2,25.0,0.5511745876736112,0.00501844618055558
Diabetes,SMOTE,3,37.5,0.5246853298611112,0.00560167100694442
Diabetes,SMOTE,4,50.0,0.5098537868923612,0.004550509982638895
Diabetes,SMOTE,5,62.5,0.6112942165798612,0.0036010742187499445
Diabetes,SMOTE,6,75.0,0.69677734375,0.010986328125
Diabetes,GMM-guided SMOTE,0,0.0,0.7234564887152777,0.004937065972222154
Diabetes,GMM-guided SMOTE,1,12.5,0.5841335720486112,0.004082573784722154
Diabetes,GMM-guided SMOTE,2,25.0,0.5505777994791666,0.01725260416666663
Diabetes,GMM-guided SMOTE,3,37.5,0.5312093098958333,0.013387044270833315
Diabetes,GMM-guided SMOTE,4,50.0,0.519992404513889,0.00655110677083337
Diabetes,GMM-guided SMOTE,5,62.5,0.6173095703125,0.03651258680555558
Diabetes,GMM-guided SMOTE,6,75.0,0.6686197916666667,0.042860243055555525
Diabetes,CVAE,0,0.0,0.9768880208333333,0.002170138888888895
Diabetes,CVAE,1,12.5,0.970547146267361,0.0015665690104167407
