dataset,proportion_permuted,percent_permuted,repeat,discriminator_auc,edge_jaccard,n_real_edges,n_perturbed_edges,glasso_alpha,edge_recovery
Breast Cancer,0.1,10.0,6,0.6687857596948505,0.8446601941747572,97,93,0.502,0.8969072164948454
Breast Cancer,0.1,10.0,7,0.6859504132231405,0.8018867924528302,97,94,0.502,0.8762886597938144
Breast Cancer,0.1,10.0,8,0.6666096141620618,0.8712871287128713,97,92,0.502,0.9072164948453609
Breast Cancer,0.1,10.0,9,0.6516211061665608,0.89,97,92,0.502,0.9175257731958762
Breast Cancer,0.25,25.0,0,0.9049586776859505,0.638095238095238,97,75,0.502,0.6907216494845361
Breast Cancer,0.25,25.0,1,0.9019022935106852,0.6571428571428571,97,77,0.502,0.711340206185567
Breast Cancer,0.25,25.0,2,0.910289011687613,0.6176470588235294,97,68,0.502,0.6494845360824743
Breast Cancer,0.25,25.0,3,0.919873832461245,0.5904761904761905,97,70,0.502,0.6391752577319587
Breast Cancer,0.25,25.0,4,0.901095408088415,0.6226415094339622,97,75,0.502,0.6804123711340204
Breast Cancer,0.25,25.0,5,0.8621692992322363,0.6057692307692307,97,70,0.502,0.6494845360824741
Breast Cancer,0.25,25.0,6,0.8993593818768644,0.5981308411214953,97,74,0.502,0.6597938144329896
Breast Cancer,0.25,25.0,7,0.8960095848207736,0.5480769230769231,97,64,0.502,0.5876288659793815
Breast Cancer,0.25,25.0,8,0.9232969827375422,0.6538461538461539,97,75,0.502,0.7010309278350517
Breast Cancer,0.25,25.0,9,0.8949826397378845,0.6633663366336634,97,71,0.502,0.6907216494845361
Breast Cancer,0.5,50.0,0,0.995427649273803,0.4205607476635514,97,55,0.502,0.4639175257731959
Breast Cancer,0.5,50.0,1,0.995598806787618,0.42452830188679247,97,54,0.502,0.46391752577319595
Breast Cancer,0.5,50.0,2,0.9926646779793633,0.4411764705882353,97,50,0.502,0.4639175257731958
Breast Cancer,0.5,50.0,3,0.9919066947038975,0.3883495145631068,97,46,0.502,0.41237113402061853
Breast Cancer,0.5,50.0,4,0.9884590933541982,0.4423076923076923,97,53,0.502,0.47422680412371127
Breast Cancer,0.5,50.0,5,0.9928602865665803,0.4095238095238095,97,51,0.502,0.44329896907216493
Breast Cancer,0.5,50.0,6,0.9954521003472053,0.45794392523364486,97,59,0.502,0.5051546391752578
Breast Cancer,0.5,50.0,7,0.9952564917599882,0.45098039215686275,97,51,0.502,0.47422680412371143
Breast Cancer,0.5,50.0,8,0.9951342363929776,0.4056603773584906,97,52,0.502,0.44329896907216493
Breast Cancer,0.5,50.0,9,0.9888747616020344,0.4666666666666667,97,57,0.502,0.5051546391752577
Breast Cancer,0.75,75.0,0,0.9997554892659788,0.3333333333333333,97,39,0.502,0.35051546391752575
Breast Cancer,0.75,75.0,1,0.9991686635043279,0.2980769230769231,97,38,0.502,0.31958762886597936
Breast Cancer,0.75,75.0,2,0.9989241527703067,0.32038834951456313,97,39,0.502,0.3402061855670103
Breast Cancer,0.75,75.0,3,0.9986551909628834,0.3269230769230769,97,41,0.502,0.35051546391752575
Breast Cancer,0.75,75.0,4,0.9999510978531958,0.2815533980582524,97,35,0.502,0.29896907216494845
Breast Cancer,0.75,75.0,5,0.9997065871191746,0.30392156862745096,97,36,0.502,0.3195876288659793
Breast Cancer,0.75,75.0,6,0.9989486038437088,0.36633663366336633,97,41,0.502,0.38144329896907225
Breast Cancer,0.75,75.0,7,0.9999510978531957,0.29523809523809524,97,39,0.502,0.31958762886597936
Breast Cancer,0.75,75.0,8,0.9998532935595873,0.3113207547169811,97,42,0.502,0.3402061855670103
Breast Cancer,0.75,75.0,9,0.9994131742383491,0.33663366336633666,97,38,0.502,0.35051546391752575
Breast Cancer,1.0,100.0,0,0.9997065871191746,0.2815533980582524,97,35,0.502,0.29896907216494845
Breast Cancer,1.0,100.0,1,1.0,0.2647058823529412,97,32,0.502,0.27835051546391754
Breast Cancer,1.0,100.0,2,0.9999021957063915,0.30392156862745096,97,36,0.502,0.3195876288659793
Breast Cancer,1.0,100.0,3,0.999168663504328,0.3,97,33,0.502,0.30927835051546393
Breast Cancer,1.0,100.0,4,0.9993398210181428,0.27884615384615385,97,36,0.502,0.29896907216494845
Breast Cancer,1.0,100.0,5,0.9997065871191745,0.27450980392156865,97,33,0.502,0.288659793814433
Breast Cancer,1.0,100.0,6,0.999608782825566,0.28431372549019607,97,34,0.502,0.29896907216494845
Breast Cancer,1.0,100.0,7,0.9999021957063915,0.3069306930693069,97,35,0.502,0.31958762886597936
Breast Cancer,1.0,100.0,8,0.9998532935595873,0.3137254901960784,97,37,0.502,0.32989690721649484
Breast Cancer,1.0,100.0,9,0.9997065871191746,0.28846153846153844,97,37,0.502,0.30927835051546393
Diabetes,0.0,0.0,0,0.5,1.0,21,21,0.0159,1.0
Diabetes,0.0,0.0,1,0.5,1.0,21,21,0.0159,1.0
Diabetes,0.0,0.0,2,0.5,1.0,21,21,0.0159,1.0
Diabetes,0.0,0.0,3,0.5,1.0,21,21,0.0159,1.0
Diabetes,0.0,0.0,4,0.5,1.0,21,21,0.0159,1.0
Diabetes,0.0,0.0,5,0.5,1.0,21,21,0.0159,1.0
Diabetes,0.0,0.0,6,0.5,1.0,21,21,0.0159,1.0
Diabetes,0.0,0.0,7,0.5,1.0,21,21,0.0159,1.0
