dataset,method,fraction,separability_auc
Diabetes,SMOTE,0.25,0.5668402777777778
Diabetes,SMOTE,0.25,0.5536024305555556
Diabetes,GMM-guided SMOTE,0.25,0.5164930555555556
Diabetes,GMM-guided SMOTE,0.25,0.5970052083333334
Diabetes,GMM-guided SMOTE,0.25,0.5325520833333334
Diabetes,GMM-guided SMOTE,0.25,0.5377604166666666
Diabetes,GMM-guided SMOTE,0.25,0.5685763888888888
Diabetes,CVAE,0.25,0.9322916666666666
Diabetes,CVAE,0.25,0.9398871527777778
Diabetes,CVAE,0.25,0.919704861111111
Diabetes,CVAE,0.25,0.9344618055555556
Diabetes,CVAE,0.25,0.878689236111111
Diabetes,Bootstrap,0.5,0.7044270833333334
Diabetes,Bootstrap,0.5,0.6698133680555556
Diabetes,Bootstrap,0.5,0.7037217881944444
Diabetes,Bootstrap,0.5,0.7409396701388888
Diabetes,Bootstrap,0.5,0.6880425347222222
Diabetes,Column-wise,0.5,0.6966145833333334
Diabetes,Column-wise,0.5,0.8155924479166666
Diabetes,Column-wise,0.5,0.7167968750000001
Diabetes,Column-wise,0.5,0.709689670138889
Diabetes,Column-wise,0.5,0.7084418402777779
Diabetes,GMM,0.5,0.9696180555555556
Diabetes,GMM,0.5,0.9646809895833334
Diabetes,GMM,0.5,0.9634331597222222
Diabetes,GMM,0.5,0.9686957465277778
Diabetes,GMM,0.5,0.9767795138888888
Diabetes,SMOTE,0.5,0.6096462673611112
Diabetes,SMOTE,0.5,0.6410590277777777
Diabetes,SMOTE,0.5,0.666232638888889
Diabetes,SMOTE,0.5,0.6459418402777779
Diabetes,SMOTE,0.5,0.6488172743055556
Diabetes,GMM-guided SMOTE,0.5,0.6482204861111112
Diabetes,GMM-guided SMOTE,0.5,0.677734375
Diabetes,GMM-guided SMOTE,0.5,0.64794921875
Diabetes,GMM-guided SMOTE,0.5,0.613552517361111
Diabetes,GMM-guided SMOTE,0.5,0.6228298611111112
Diabetes,CVAE,0.5,0.9364691840277778
Diabetes,CVAE,0.5,0.9335394965277779
Diabetes,CVAE,0.5,0.919650607638889
Diabetes,CVAE,0.5,0.9664713541666666
Diabetes,CVAE,0.5,0.9688042534722222
Diabetes,Bootstrap,0.75,0.6967110339506173
Diabetes,Bootstrap,0.75,0.7263454861111112
Diabetes,Bootstrap,0.75,0.6810860339506173
Diabetes,Bootstrap,0.75,0.7393663194444444
Diabetes,Bootstrap,0.75,0.7048369984567902
Diabetes,Column-wise,0.75,0.77734375
Diabetes,Column-wise,0.75,0.7607542438271605
Diabetes,Column-wise,0.75,0.7665895061728394
Diabetes,Column-wise,0.75,0.8131028163580247
Diabetes,Column-wise,0.75,0.8033371913580247
Diabetes,GMM,0.75,0.9694251543209877
Diabetes,GMM,0.75,0.9757908950617284
Diabetes,GMM,0.75,0.9728973765432098
Diabetes,GMM,0.75,0.9831452546296297
Diabetes,GMM,0.75,0.9839891975308641
Diabetes,SMOTE,0.75,0.6771556712962963
Diabetes,SMOTE,0.75,0.7116367669753086
Diabetes,SMOTE,0.75,0.652367862654321
Diabetes,SMOTE,0.75,0.648509837962963
Diabetes,SMOTE,0.75,0.6827498070987654
Diabetes,GMM-guided SMOTE,0.75,0.6979166666666666
Diabetes,GMM-guided SMOTE,0.75,0.658323688271605
Diabetes,GMM-guided SMOTE,0.75,0.7190634645061728
Diabetes,GMM-guided SMOTE,0.75,0.7138792438271605
Diabetes,GMM-guided SMOTE,0.75,0.7215470679012345
Diabetes,CVAE,0.75,0.9602382330246914
