dataset,method,sigma,sep_mean,sep_sd
Breast Cancer,CVAE,1.5,0.9997291440953413,0.00017236284841914973
Breast Cancer,CVAE,2.0,0.9999630651039102,3.693489608980194e-05
Breast Cancer,WGAN-GP,0.0,1.0,0.0
Breast Cancer,WGAN-GP,0.05,1.0,0.0
Breast Cancer,WGAN-GP,0.1,1.0,0.0
Breast Cancer,WGAN-GP,0.2,0.9998891953117305,3.693489608991296e-05
Breast Cancer,WGAN-GP,0.3,0.9980178272431793,0.0007756328178862848
Breast Cancer,WGAN-GP,0.5,0.9941150398896879,0.00027085590465864007
Breast Cancer,WGAN-GP,0.75,0.9998768836797006,2.462326405983095e-05
Breast Cancer,WGAN-GP,1.0,1.0,0.0
Breast Cancer,WGAN-GP,1.5,0.9999261302078204,7.386979217965939e-05
Breast Cancer,WGAN-GP,2.0,0.9999753767359401,2.4623264059886463e-05
Diabetes,Bootstrap,0.0,0.7176378038194444,0.00341796875
Diabetes,Bootstrap,0.05,0.937961154513889,0.00912814670138895
Diabetes,Bootstrap,0.1,0.9435085720486112,0.0106201171875
Diabetes,Bootstrap,0.2,0.9538235134548612,0.011739095052083315
Diabetes,Bootstrap,0.3,0.9669121636284723,0.005961100260416684
Diabetes,Bootstrap,0.5,0.973388671875,0.0022108289930555802
Diabetes,Bootstrap,0.75,0.9809366861979167,0.0006849500868055247
Diabetes,Bootstrap,1.0,0.9860772026909722,0.0003729926215277901
Diabetes,Bootstrap,1.5,0.9923570421006944,0.0006442599826388951
Diabetes,Bootstrap,2.0,0.9957139756944444,0.0002441406249999445
Diabetes,Column-wise,0.0,0.7866346571180556,0.003377278645833426
Diabetes,Column-wise,0.05,0.9843207465277777,0.001993815104166685
Diabetes,Column-wise,0.1,0.9824150933159723,0.0035875108506944753
Diabetes,Column-wise,0.2,0.9851481119791666,0.0017768012152777901
Diabetes,Column-wise,0.3,0.9850056966145833,0.0009290907118055247
Diabetes,Column-wise,0.5,0.9866129557291666,0.0040554470486111605
Diabetes,Column-wise,0.75,0.9883219401041667,0.0017225477430555247
Diabetes,Column-wise,1.0,0.9871351453993056,0.0014444986979166852
Diabetes,Column-wise,1.5,0.9941338433159721,0.001376681857638895
Diabetes,Column-wise,2.0,0.9983452690972223,0.0005154079861111049
Diabetes,GMM,0.0,0.97662353515625,0.00612386067708337
Diabetes,GMM,0.05,0.9757554796006944,0.0035739474826388395
Diabetes,GMM,0.1,0.9795667860243056,0.001675075954861105
Diabetes,GMM,0.2,0.9774237738715277,0.004130045572916685
Diabetes,GMM,0.3,0.9747450086805556,0.00371636284722221
Diabetes,GMM,0.5,0.97650146484375,0.0039944118923611605
Diabetes,GMM,0.75,0.9809773763020833,0.0060424804687500555
Diabetes,GMM,1.0,0.987399631076389,0.0036756727430555802
Diabetes,GMM,1.5,0.9930487738715278,0.0006306966145833703
Diabetes,GMM,2.0,0.997524685329861,0.0002916124131945308
Diabetes,SMOTE,0.0,0.724331325954861,0.0070461697048612715
Diabetes,SMOTE,0.05,0.95599365234375,0.0008612738715277346
Diabetes,SMOTE,0.1,0.9540540907118056,0.002271864149305469
Diabetes,SMOTE,0.2,0.9593438042534722,0.0038723415798611605
Diabetes,SMOTE,0.3,0.9627685546875,0.00027126736111110494
Diabetes,SMOTE,0.5,0.9731377495659722,0.00475396050347221
Diabetes,SMOTE,0.75,0.9874199761284722,0.0009426540798611605
Diabetes,SMOTE,1.0,0.9910820855034723,0.0005086263020833148
Diabetes,SMOTE,1.5,0.9972873263888888,0.0003119574652778456
Diabetes,SMOTE,2.0,0.9987250434027778,0.0008002387152777901
Diabetes,GMM-guided SMOTE,0.0,0.7108425564236112,0.028849283854166685
Diabetes,GMM-guided SMOTE,0.05,0.9627007378472223,0.009209526909722265
Diabetes,GMM-guided SMOTE,0.1,0.9616156684027777,0.010050455729166685
Diabetes,GMM-guided SMOTE,0.2,0.9655287000868056,0.01059977213541663
Diabetes,GMM-guided SMOTE,0.3,0.9686414930555556,0.0101318359375
Diabetes,GMM-guided SMOTE,0.5,0.9745279947916667,0.003377278645833315
Diabetes,GMM-guided SMOTE,0.75,0.9828423394097222,0.0025227864583333703
Diabetes,GMM-guided SMOTE,1.0,0.9893120659722223,0.0008816189236111049
Diabetes,GMM-guided SMOTE,1.5,0.9947441948784722,0.0006035698784722099
Diabetes,GMM-guided SMOTE,2.0,0.9975925021701388,0.0009290907118056357
Diabetes,CVAE,0.0,0.9764539930555556,0.0015326605902776236
Diabetes,CVAE,0.05,0.9770779079861112,0.005805121527777846
Diabetes,CVAE,0.1,0.9768269856770834,0.0025973849826388395
Diabetes,CVAE,0.2,0.9721137152777778,0.0055202907986111605
Diabetes,CVAE,0.3,0.9723239474826388,0.007846408420138895
Diabetes,CVAE,0.5,0.9764133029513888,0.006483289930555636
Diabetes,CVAE,0.75,0.9857923719618056,0.005961100260416684
Diabetes,CVAE,1.0,0.9879692925347223,0.005262586805555525
Diabetes,CVAE,1.5,0.9927029079861112,0.004082573784722265
Diabetes,CVAE,2.0,0.9965277777777778,0.0018988715277777901
Diabetes,WGAN-GP,0.0,0.9996609157986112,0.0001763237847222654
Diabetes,WGAN-GP,0.05,0.9994710286458333,1.3563368055524716e-05
Diabetes,WGAN-GP,0.1,0.99908447265625,0.00026448567708337034
Diabetes,WGAN-GP,0.2,0.9985215928819444,0.00028483072916668517
Diabetes,WGAN-GP,0.3,0.9957071940104166,0.0013766818576388395
Diabetes,WGAN-GP,0.5,0.9852091471354166,0.0008070203993055802
Diabetes,WGAN-GP,0.75,0.9839206271701388,0.0015801323784722099
Diabetes,WGAN-GP,1.0,0.9882948133680556,0.0001898871527776791
Diabetes,WGAN-GP,1.5,0.9920654296875,0.0005018446180555802
Diabetes,WGAN-GP,2.0,0.9961344401041667,0.00010850694444447528
