dataset,method,feature_index,feature,kld
HIV,SMOTE,55,Il2_production,1.0375143902239286
HIV,SMOTE,56,RATIO_CD4CD8,1.4868799903113703
HIV,SMOTE,57,V8Neut,1.5173647324084043
HIV,SMOTE,58,V9Neut,0.6783724673088781
HIV,SMOTE,59,V7_ACE2,1.344953333858108
HIV,SMOTE,60,V8_ACE2,0.7393457797634148
HIV,SMOTE,61,V8b_ACE2,1.0209256736805252
HIV,SMOTE,62,V9_ACE2,1.0386573327044322
HIV,GMM-guided SMOTE,0,spikeProduction_D1D2,2.1057941563847926
HIV,GMM-guided SMOTE,1,spikeDecay_D1D2,2.332587217881989
HIV,GMM-guided SMOTE,2,spikeProduction_D3,2.266510151880897
HIV,GMM-guided SMOTE,3,spikeDecay_D3,2.556215279320995
HIV,GMM-guided SMOTE,4,RBDProduction_D1D2,2.7879742366952014
HIV,GMM-guided SMOTE,5,RBDDecay_D1D2,2.873949996776964
HIV,GMM-guided SMOTE,6,RBDProduction_D3,4.103079289074362
HIV,GMM-guided SMOTE,7,RBDDecay_D3,2.5580925626071496
HIV,GMM-guided SMOTE,8,V1_blood_IgGspike,1.695278260963095
HIV,GMM-guided SMOTE,9,V4_blood_IgGspike,1.105988309435591
HIV,GMM-guided SMOTE,10,V4a_blood_IgGspike,0.698051661819711
HIV,GMM-guided SMOTE,11,V6_blood_IgGspike,0.6345643456536438
HIV,GMM-guided SMOTE,12,V8_blood_IgGspike,0.592405540475412
HIV,GMM-guided SMOTE,13,V8a_blood_IgGspike,0.7104188690316089
HIV,GMM-guided SMOTE,14,V8b_blood_IgGspike,1.5971215159879146
HIV,GMM-guided SMOTE,15,V9_blood_IgGspike,1.412051551813235
HIV,GMM-guided SMOTE,16,V10_blood_IgGspike,1.509432716698798
HIV,GMM-guided SMOTE,17,V11_blood_IgGspike,1.3731619324179338
HIV,GMM-guided SMOTE,18,V1_blood_IgGRBD,1.025080826396186
HIV,GMM-guided SMOTE,19,V4_blood_IgGRBD,0.2246836972646709
HIV,GMM-guided SMOTE,20,V4a_blood_IgGRBD,0.1881833339466874
HIV,GMM-guided SMOTE,21,V6_blood_IgGRBD,0.7241546581201479
HIV,GMM-guided SMOTE,22,V8_blood_IgGRBD,0.8859494693183319
HIV,GMM-guided SMOTE,23,V8a_blood_IgGRBD,0.8173581715898133
HIV,GMM-guided SMOTE,24,V8b_blood_IgGRBD,0.8646905361858861
HIV,GMM-guided SMOTE,25,V9_blood_IgGRBD,1.0506457260612991
HIV,GMM-guided SMOTE,26,V10_blood_IgGRBD,1.3610292247025118
HIV,GMM-guided SMOTE,27,V11_blood_IgGRBD,0.4343886544358335
HIV,GMM-guided SMOTE,28,V4_Saliva_IgGspike,0.8426343337300315
HIV,GMM-guided SMOTE,29,V4_Saliva_IgGRBD,0.4488072083319645
HIV,GMM-guided SMOTE,30,V5_Saliva_IgGspike,0.8029016270954922
HIV,GMM-guided SMOTE,31,V5_Saliva_IgGRBD,0.6905252303533481
HIV,GMM-guided SMOTE,32,V8_Saliva_IgGspike,0.8098986064616304
HIV,GMM-guided SMOTE,33,V8_Saliva_IgGRBD,0.6520772974712097
HIV,GMM-guided SMOTE,34,V8b_Saliva_IgGspike,1.2134547723347129
HIV,GMM-guided SMOTE,35,V8b_Saliva_IgGRBD,0.8597370082079789
HIV,GMM-guided SMOTE,36,V9_Saliva_IgGspike,1.1362717764190755
HIV,GMM-guided SMOTE,37,V9_Saliva_IgGRBD,0.5964326019276033
HIV,GMM-guided SMOTE,38,V4_Saliva_IgAspike,0.7384017345550786
HIV,GMM-guided SMOTE,39,V4_Saliva_IgARBD,0.4360115195562911
HIV,GMM-guided SMOTE,40,V5_Saliva_IgAspike,1.2016923858449688
HIV,GMM-guided SMOTE,41,V5_Saliva_IgARBD,1.400611940991337
HIV,GMM-guided SMOTE,42,V8_Saliva_IgAspike,0.7918947833582864
HIV,GMM-guided SMOTE,43,V8_Saliva_IgARBD,1.1256984551267653
HIV,GMM-guided SMOTE,44,V8b_Saliva_IgAspike,1.7077909331634171
HIV,GMM-guided SMOTE,45,V8b_Saliva_IgARBD,0.776812068777241
HIV,GMM-guided SMOTE,46,V9_Saliva_IgAspike,0.3525428687744729
HIV,GMM-guided SMOTE,47,V9_Saliva_IgARBD,0.2644116899263197
HIV,GMM-guided SMOTE,48,V8_IFNg,0.3768622236808916
HIV,GMM-guided SMOTE,49,V9_IFNg,0.8181586373700445
HIV,GMM-guided SMOTE,50,V8_IL2,0.5067656567359459
HIV,GMM-guided SMOTE,51,V9_IL2,1.66976639361621
HIV,GMM-guided SMOTE,52,V9Dual,0.6070718920546683
HIV,GMM-guided SMOTE,53,V8Dual,0.6533413365798442
HIV,GMM-guided SMOTE,54,IFNG_production,1.0757948036488103
HIV,GMM-guided SMOTE,55,Il2_production,2.0889822274971133
HIV,GMM-guided SMOTE,56,RATIO_CD4CD8,1.5609293904336337
HIV,GMM-guided SMOTE,57,V8Neut,0.6554809500037548
HIV,GMM-guided SMOTE,58,V9Neut,0.3610512902112384
HIV,GMM-guided SMOTE,59,V7_ACE2,1.1251632016942503
HIV,GMM-guided SMOTE,60,V8_ACE2,0.369187694587529
HIV,GMM-guided SMOTE,61,V8b_ACE2,1.697122580731074
HIV,GMM-guided SMOTE,62,V9_ACE2,0.8124918084937327
HIV,CVAE,0,spikeProduction_D1D2,9.520034873308122
