dataset,method,repeat,tstr_f1,trtr_f1,utility_gap_abs
Breast Cancer,Column-wise,5,0.953058321479374,0.9651268184702836,0.012068496990909616
Breast Cancer,Column-wise,6,0.9517045454545454,0.9760991556439162,0.024394610189370836
Breast Cancer,Column-wise,7,0.9545454545454546,0.966544694946722,0.01199924040126743
Breast Cancer,Column-wise,8,0.9531914893617022,0.9667799902865468,0.013588500924844649
Breast Cancer,Column-wise,9,0.9545454545454546,0.9696248109727528,0.015079356427298185
Breast Cancer,Column-wise,10,0.950354609929078,0.9679932432166384,0.017638633287560324
Breast Cancer,Column-wise,11,0.9544159544159544,0.9708713059980912,0.016455351582136846
Breast Cancer,Column-wise,12,0.953058321479374,0.9664538468160264,0.013395525336652447
Breast Cancer,Column-wise,13,0.9544159544159544,0.9679659653137276,0.01355001089777319
Breast Cancer,Column-wise,14,0.953058321479374,0.9707574934276236,0.01769917194824966
Breast Cancer,Column-wise,15,0.950354609929078,0.9705158896269096,0.020161279697831547
Breast Cancer,Column-wise,16,0.950354609929078,0.9705801880897432,0.02022557816066517
Breast Cancer,Column-wise,17,0.9517045454545454,0.967790849404936,0.016086303950390568
Breast Cancer,Column-wise,18,0.9559032716927454,0.9708620689655172,0.014958797272771829
Breast Cancer,Column-wise,19,0.9514285714285714,0.9666815530600982,0.015252981631526774
Breast Cancer,SMOTE,0,0.9875173370319,0.9693090695899408,0.018208267441959247
Breast Cancer,SMOTE,1,0.9861111111111112,0.9708217339834628,0.01528937712764833
Breast Cancer,SMOTE,2,0.9833795013850416,0.969345700438464,0.01403380094657758
Breast Cancer,SMOTE,3,0.984743411927878,0.9721019255727504,0.012641486355127518
Breast Cancer,SMOTE,4,0.9833333333333332,0.9653388938833948,0.017994439449938393
Breast Cancer,SMOTE,5,0.9819694868238558,0.9651268184702836,0.016842668353572177
Breast Cancer,SMOTE,6,0.984743411927878,0.9760991556439162,0.008644256283961704
Breast Cancer,SMOTE,7,0.984743411927878,0.966544694946722,0.018198716981155938
Breast Cancer,SMOTE,8,0.9861111111111112,0.9667799902865468,0.01933112082456434
Breast Cancer,SMOTE,9,0.984743411927878,0.9696248109727528,0.015118600955125183
Breast Cancer,SMOTE,10,0.9833333333333332,0.9679932432166384,0.015340090116694793
Breast Cancer,SMOTE,11,0.984743411927878,0.9708713059980912,0.013872105929786716
Breast Cancer,SMOTE,12,0.9860724233983288,0.9664538468160264,0.01961857658230237
Breast Cancer,SMOTE,13,0.9833333333333332,0.9679659653137276,0.015367368019605587
Breast Cancer,SMOTE,14,0.9847009735744088,0.9707574934276236,0.013943480146785148
Breast Cancer,SMOTE,15,0.984743411927878,0.9705158896269096,0.014227522300968354
Breast Cancer,SMOTE,16,0.984743411927878,0.9705801880897432,0.01416322383813473
Breast Cancer,SMOTE,17,0.9819694868238558,0.967790849404936,0.014178637418919782
Breast Cancer,SMOTE,18,0.9819694868238558,0.9708620689655172,0.011107417858338575
Breast Cancer,SMOTE,19,0.9833795013850416,0.9666815530600982,0.016697948324943424
Breast Cancer,GMM-guided SMOTE,0,0.9666666666666668,0.9693090695899408,0.002642402923274001
Breast Cancer,GMM-guided SMOTE,1,0.9722222222222222,0.9708217339834628,0.0014004882387593787
Breast Cancer,GMM-guided SMOTE,2,0.9680998613037448,0.969345700438464,0.0012458391347192066
Breast Cancer,GMM-guided SMOTE,3,0.9694444444444444,0.9721019255727504,0.002657481128305994
Breast Cancer,GMM-guided SMOTE,4,0.9707927677329624,0.9653388938833948,0.0054538738495676364
Breast Cancer,GMM-guided SMOTE,5,0.9707927677329624,0.9651268184702836,0.005665949262678827
Breast Cancer,GMM-guided SMOTE,6,0.9722222222222222,0.9760991556439162,0.00387693342169404
Breast Cancer,GMM-guided SMOTE,7,0.9707112970711296,0.966544694946722,0.004166602124407559
