dataset,method,condition,strength,mean_auc,sd_auc,mean_auc_reduction,sd_auc_reduction,mean_structural_error,sd_structural_error,mean_marginal_ks,max_marginal_ks,runs
Diabetes,CVAE,permuted_structure_control,0.0,0.9882736545138888,0.0037562161124008913,0.0,0.0,1.3179720825144676,0.08814550785891466,0.04759925373134328,0.08955223880597014,50
Diabetes,CVAE,permuted_structure_control,0.25,0.9879342990451389,0.00366042262828941,0.0003393554687500044,0.0015161248312736022,1.231656385215627,0.07641108422046669,0.04786044776119403,0.08955223880597014,50
Diabetes,CVAE,permuted_structure_control,0.5,0.9876220703125,0.00382035090743067,0.0006515842013888862,0.0018988912202625367,1.2438715669226885,0.05011547219193008,0.046454104477611946,0.08955223880597014,50
Diabetes,CVAE,permuted_structure_control,0.75,0.9877617730034722,0.003970974271713173,0.000511881510416663,0.002200876156508434,1.3418693185261832,0.019956133292478778,0.04572574626865672,0.08208955223880597,50
Diabetes,CVAE,permuted_structure_control,1.0,0.98890380859375,0.0036063979675846963,-0.0006301540798611094,0.0023868904449313782,1.5148362641693758,0.016924304930258014,0.045417537313432836,0.08955223880597014,50
Diabetes,CVAE,targeted_structure,0.0,0.9882736545138888,0.0037562161124008913,0.0,0.0,1.3179720825144676,0.08814550785891466,0.04759925373134328,0.08955223880597014,50
Diabetes,CVAE,targeted_structure,0.25,0.9873806423611111,0.0038608022621152366,0.000893012152777779,0.0011909891214359077,1.1753892012586844,0.08543565333885146,0.0476473880597015,0.09701492537313433,50
Diabetes,CVAE,targeted_structure,0.5,0.9870358615451389,0.004056731981349229,0.00123779296875,0.0012729225602348463,1.0393209190135275,0.0751833158667632,0.04723768656716418,0.08955223880597014,50
Diabetes,CVAE,targeted_structure,0.75,0.9873529730902778,0.0038839180589379774,0.0009206814236110916,0.0014369429048795917,0.9183935397208143,0.05821023182510774,0.046901119402985074,0.084,50
Diabetes,CVAE,targeted_structure,1.0,0.9874267578125,0.003836119735682956,0.0008468967013888862,0.0018016260172409977,0.8162046845066233,0.038044027390161744,0.046542910447761196,0.086,50
