repeat,seed,dataset,prior,feature_index,feature,n_real,n_synthetic,real_mean,synthetic_mean,mean_difference,t_statistic,p_value,ks_statistic,standardized_mean_difference,standardized_wasserstein
0,42,HIV,Normal,42,V5_Saliva_IgARBD,91,91,83.34017392108728,63.64327112134996,-19.696902799737323,2.7509429196084665,0.006778182663039601,0.2967032967032967,-0.3220187297959819,0.44910723398715063
0,42,HIV,Normal,43,V8_Saliva_IgAspike,91,91,51.38416520219583,45.55358425601498,-5.830580946180852,1.4500041102084478,0.1499332921651757,0.2087912087912088,-0.159838259936937,0.35818291663561674
0,42,HIV,Normal,44,V8_Saliva_IgARBD,91,91,57.968210541285,42.91039018316583,-15.057820358119173,2.6474927956155376,0.009419483067536736,0.25274725274725274,-0.2853464393754948,0.4439841721690594
0,42,HIV,Normal,45,V8b_Saliva_IgAspike,91,91,46.935210124476924,35.303835344838575,-11.63137477963835,3.5344278453552898,0.0005779231262647096,0.34065934065934067,-0.4032993573141779,0.5097777636330876
0,42,HIV,Normal,46,V8b_Saliva_IgARBD,91,91,52.45808972107185,39.87801952152462,-12.58007019954723,2.8728999760801295,0.004814975290926704,0.2967032967032967,-0.3254790979926892,0.4084113095805733
0,42,HIV,Normal,47,V9_Saliva_IgAspike,91,91,27.16994598647068,20.722798551831925,-6.4471474346387545,2.4706824909859795,0.014910287485969387,0.2967032967032967,-0.27912555337275585,0.3897680970219686
0,42,HIV,Normal,48,V9_Saliva_IgARBD,91,91,26.604469154889767,16.108263948461513,-10.496205206428254,2.2402959743825384,0.027377750034282056,0.3076923076923077,-0.23873493437543652,0.3396647029203083
0,42,HIV,Normal,49,V8_IFNg,91,91,31.1695054599217,21.93580558797815,-9.23369987194355,2.4570464489418358,0.015385382713774175,0.21978021978021978,-0.282098203869725,0.39362601207556386
0,42,HIV,Normal,50,V9_IFNg,91,91,78.89835192083002,52.71932585684808,-26.179026063981944,2.3739180415159558,0.019229043061122695,0.17582417582417584,-0.26726087353074524,0.3569971845567317
0,42,HIV,Normal,51,V8_IL2,91,91,130.1841593312693,96.52064964797471,-33.663509683294606,2.228363088905857,0.02749266047008282,0.2087912087912088,-0.2640826569336373,0.3511409252275874
0,42,HIV,Normal,52,V9_IL2,91,91,174.50123680030907,124.70403985662774,-49.79719694368133,2.554651959455803,0.01173934608590799,0.21978021978021978,-0.30147402657027905,0.3738253927632801
0,42,HIV,Normal,53,V9Dual,91,91,19.905494527502373,12.701132488774729,-7.204362038727645,2.460692894580764,0.015289282854144165,0.2087912087912088,-0.27924873084737856,0.34917834887413257
0,42,HIV,Normal,54,V8Dual,91,91,8.972802202780167,6.005451734249409,-2.967350468530759,2.354912948563113,0.020287255254441132,0.17582417582417584,-0.2609070564900567,0.3333094723632796
0,42,HIV,Normal,55,IFNG_production,91,91,0.09224910548489008,0.09701207540110572,0.004762969916215637,-0.4645805049477422,0.6429809657651817,0.3626373626373626,0.05482099298224401,0.4244879194651933
0,42,HIV,Normal,56,Il2_production,91,91,0.2338140260551002,0.2323267461506875,-0.0014872799044127194,0.09608422331918469,0.923590301438327,0.21978021978021978,-0.01152510174573347,0.3197934709557151
0,42,HIV,Normal,57,RATIO_CD4CD8,91,91,1.2654785350128845,1.141192730966505,-0.12428580404637946,1.1511011558842077,0.2521310183710274,0.3076923076923077,-0.12810667141124443,0.38360105774489883
0,42,HIV,Normal,58,V8Neut,91,91,265.0976501297165,117.22982273521004,-147.86782739450646,4.038598432313923,0.0001009262728385081,0.3076923076923077,-0.44405672977856975,0.4610284023275442
0,42,HIV,Normal,59,V9Neut,91,91,935.7140911647251,454.3896948845832,-481.3243962801419,4.455302642700323,2.1439382755692103e-05,0.3516483516483517,-0.4830080621600317,0.5826653637120947
0,42,HIV,Normal,60,V7_ACE2,91,91,334.41255225716054,176.40848675402967,-158.00406550313087,4.082140509846383,8.931896512692251e-05,0.37362637362637363,-0.4409904037838043,0.4899820564591489
0,42,HIV,Normal,61,V8_ACE2,91,91,136.17588026444992,80.23256830068735,-55.94331196376257,3.5243219727527753,0.0006419611747156531,0.34065934065934067,-0.37961654209686263,0.4439456098113694
0,42,HIV,Normal,62,V8b_ACE2,91,91,694.1192100441062,507.098880642063,-187.02032940204322,3.600958527780021,0.00047740696972385427,0.3076923076923077,-0.3980171374575868,0.5674814644590833
0,42,HIV,Normal,63,V9_ACE2,91,91,523.224073766352,307.128537272359,-216.09553649399305,3.8232334506625407,0.0002199743330274,0.26373626373626374,-0.4213273067596532,0.5141108669317758
0,42,HIV,Log-normal,1,spikeProduction_D1D2,91,91,3.140899490524124,3.1182684269580214,-0.02263106356610267,1.5493039493166458,0.12397176705716134,0.3626373626373626,-0.17518027920741167,0.5336189424197583
0,42,HIV,Log-normal,2,spikeDecay_D1D2,91,91,0.024470117864209218,0.02456484823027155,9.473036606233096e-05,-0.892269970622997,0.3741763541725186,0.2857142857142857,0.09894489365188269,0.4833138428508838
0,42,HIV,Log-normal,3,spikeProduction_D3,91,91,0.62353461260324,0.6233598740546258,-0.00017473854861416172,0.3968820087770804,0.6922989632455983,0.32967032967032966,-0.042770446753645185,0.5380953477600446
0,42,HIV,Log-normal,4,spikeDecay_D3,91,91,0.008703867730858562,0.00867019492395959,-3.3672806898971466e-05,1.326691179510064,0.1878400099460157,0.3956043956043956,-0.14044370198805686,0.5977542128834907
0,42,HIV,Log-normal,5,RBDProduction_D1D2,91,91,2.404523417189881,2.388387137716943,-0.016136279472938053,1.473938676819069,0.14355769482567945,0.43956043956043955,-0.15988124659771769,0.5607899207732782
0,42,HIV,Log-normal,6,RBDDecay_D1D2,91,91,0.021558716197262753,0.02160073217045475,4.2015973191995154e-05,-1.608982470108957,0.11068546013968228,0.42857142857142855,0.1746135612023406,0.5725434338047753
0,42,HIV,Log-normal,7,RBDProduction_D3,91,91,0.8169864972869119,0.8156253964036375,-0.0013611008832743465,0.5524672004315703,0.58192215566363,0.34065934065934067,-0.05875557065077552,0.5897499516775768
0,42,HIV,Log-normal,8,RBDDecay_D3,91,91,0.011376512891889274,0.011373373864034374,-3.1390278548999034e-06,0.13048062289998455,0.8964543974066486,0.38461538461538464,-0.013975276851433743,0.6474500210074331
0,42,HIV,Log-normal,9,V1_blood_IgGspike,91,91,6.896112140718397,4.6556218692234586,-2.240490271494939,2.8040432747815656,0.006146301542349063,0.34065934065934067,-0.2962027472583585,0.44550759829467257
0,42,HIV,Log-normal,10,V4_blood_IgGspike,91,91,203.0056377518308,101.04836579207536,-101.95727195975543,3.357850882399499,0.001133984934768316,0.2967032967032967,-0.3562220799865569,0.4248618612002184
0,42,HIV,Log-normal,11,V4a_blood_IgGspike,91,91,125.34833855812366,69.60386158869817,-55.74447696942549,2.738037640790002,0.007407599844371944,0.2967032967032967,-0.28935504019543845,0.35528994353510607
0,42,HIV,Log-normal,12,V6_blood_IgGspike,91,91,924.6595707568493,662.4616974212311,-262.1978733356183,4.624600182537629,8.817395254651758e-06,0.4065934065934066,-0.5420882293279846,0.6593013798646598
0,42,HIV,Log-normal,13,V8_blood_IgGspike,91,91,483.44704525287335,236.0102066207718,-247.43683863210154,5.144855669750625,1.229420639093969e-06,0.4065934065934066,-0.5636413713595633,0.6131559048261285
0,42,HIV,Log-normal,14,V8a_blood_IgGspike,91,91,339.3911614889627,172.48118507469093,-166.9099764142718,4.53034504024782,1.626869539449242e-05,0.3626373626373626,-0.4884537051053457,0.5261799029874891
0,42,HIV,Log-normal,15,V8b_blood_IgGspike,91,91,1349.6065938760946,1353.5876679472872,3.981074071192552,-0.10863615757870891,0.913639858741833,0.34065934065934067,0.013242137151170239,0.27804835232119496
