dataset,prior,feature,significant_repeat_fraction
Breast Cancer,Normal,radius error,0.0
Breast Cancer,Normal,texture error,0.3333333333333333
Breast Cancer,Normal,perimeter error,0.3333333333333333
Breast Cancer,Normal,area error,0.3333333333333333
Breast Cancer,Normal,smoothness error,0.0
Breast Cancer,Normal,compactness error,0.0
Breast Cancer,Normal,concavity error,0.0
Breast Cancer,Normal,concave points error,0.0
Breast Cancer,Normal,symmetry error,0.0
Breast Cancer,Normal,fractal dimension error,0.0
Breast Cancer,Normal,worst radius,0.0
Breast Cancer,Normal,worst texture,0.3333333333333333
Breast Cancer,Normal,worst perimeter,0.0
Breast Cancer,Normal,worst area,0.3333333333333333
Breast Cancer,Normal,worst smoothness,0.0
Breast Cancer,Normal,worst compactness,0.0
Breast Cancer,Normal,worst concavity,0.0
Breast Cancer,Normal,worst concave points,0.0
Breast Cancer,Normal,worst symmetry,0.0
Breast Cancer,Normal,worst fractal dimension,0.0
Breast Cancer,Log-normal,mean radius,0.3333333333333333
Breast Cancer,Log-normal,mean texture,0.3333333333333333
Breast Cancer,Log-normal,mean perimeter,0.3333333333333333
Breast Cancer,Log-normal,mean area,0.3333333333333333
Breast Cancer,Log-normal,mean smoothness,0.3333333333333333
Breast Cancer,Log-normal,mean compactness,0.3333333333333333
Breast Cancer,Log-normal,mean concavity,0.0
Breast Cancer,Log-normal,mean concave points,0.0
Breast Cancer,Log-normal,mean symmetry,0.6666666666666666
Breast Cancer,Log-normal,mean fractal dimension,0.6666666666666666
Breast Cancer,Log-normal,radius error,0.3333333333333333
Breast Cancer,Log-normal,texture error,0.3333333333333333
Breast Cancer,Log-normal,perimeter error,0.3333333333333333
Breast Cancer,Log-normal,area error,0.3333333333333333
Breast Cancer,Log-normal,smoothness error,0.3333333333333333
Breast Cancer,Log-normal,compactness error,0.3333333333333333
Breast Cancer,Log-normal,concavity error,0.0
Breast Cancer,Log-normal,concave points error,0.0
Breast Cancer,Log-normal,symmetry error,1.0
Breast Cancer,Log-normal,fractal dimension error,0.6666666666666666
Breast Cancer,Log-normal,worst radius,0.3333333333333333
Breast Cancer,Log-normal,worst texture,0.3333333333333333
Breast Cancer,Log-normal,worst perimeter,0.3333333333333333
Breast Cancer,Log-normal,worst area,0.3333333333333333
Breast Cancer,Log-normal,worst smoothness,0.0
Breast Cancer,Log-normal,worst compactness,0.0
Breast Cancer,Log-normal,worst concavity,0.0
Breast Cancer,Log-normal,worst concave points,0.0
Breast Cancer,Log-normal,worst symmetry,0.3333333333333333
Breast Cancer,Log-normal,worst fractal dimension,0.0
Breast Cancer,Class GMM,mean radius,0.0
Breast Cancer,Class GMM,mean texture,0.3333333333333333
Breast Cancer,Class GMM,mean perimeter,0.3333333333333333
Breast Cancer,Class GMM,mean area,0.3333333333333333
Breast Cancer,Class GMM,mean smoothness,0.3333333333333333
Breast Cancer,Class GMM,mean compactness,0.0
Breast Cancer,Class GMM,mean concavity,0.0
Breast Cancer,Class GMM,mean concave points,0.0
Breast Cancer,Class GMM,mean symmetry,0.0
Breast Cancer,Class GMM,mean fractal dimension,0.0
