dataset,method,sigma,sep_mean,sep_sd,sep_values
Breast Cancer,Column-wise,0.2,0.9607958477508649,0.007035740772239094,"[0.9572279892349096, 0.9524605920799691, 0.9560553633217992, 0.9676470588235293, 0.9705882352941175]"
Breast Cancer,Column-wise,0.3,0.9690965013456363,0.004476687942173483,"[0.964955786236063, 0.9687235678585159, 0.9653018069973086, 0.9691272587466357, 0.977374086889658]"
Breast Cancer,Column-wise,0.5,0.9753787004998078,0.003386423372944608,"[0.9731064975009612, 0.9718185313341022, 0.9731064975009612, 0.9802960399846213, 0.9785659361783929]"
Breast Cancer,Column-wise,0.75,0.9855517108804307,0.0015123116471806443,"[0.9874663590926568, 0.9844675124951943, 0.9859284890426758, 0.9832564398308342, 0.9866397539407922]"
Breast Cancer,Column-wise,1.0,0.9893963860053825,0.0014851398268983418,"[0.9913879277201078, 0.9877739331026529, 0.9893118031526337, 0.9877739331026527, 0.9907343329488658]"
Breast Cancer,Column-wise,1.5,0.9960399846212994,0.0009819363493807907,"[0.9941560938100731, 0.9968473663975395, 0.9967704728950402, 0.9960976547481739, 0.9963283352556708]"
Breast Cancer,Column-wise,2.0,0.9984390618992695,0.0006722576893463809,"[0.9976739715494041, 0.9990388312187619, 0.9982891195693963, 0.9978085351787774, 0.9993848519800077]"
Breast Cancer,GMM,0.0,0.9797078046905036,0.006383232957457408,"[0.9682814302191465, 0.9839677047289503, 0.9854671280276817, 0.9836409073433294, 0.9771818531334102]"
Breast Cancer,GMM,0.05,0.9796462898885044,0.006149213827024584,"[0.9685890042291426, 0.9862552864282967, 0.9822952710495965, 0.9832372164552096, 0.9778546712802768]"
Breast Cancer,GMM,0.1,0.979361783929258,0.0068885227788870905,"[0.9667627835447904, 0.9843521722414457, 0.983679354094579, 0.9848519800076894, 0.9771626297577856]"
Breast Cancer,GMM,0.2,0.9797116493656286,0.005837093096421153,"[0.9685313341022683, 0.9828719723183392, 0.9831410995770857, 0.9845636293733181, 0.9794502114571317]"
Breast Cancer,GMM,0.3,0.9809150326797387,0.006285631130437362,"[0.9686658977316416, 0.9861014994232986, 0.9844290657439446, 0.983679354094579, 0.9816993464052288]"
Breast Cancer,GMM,0.5,0.9838754325259516,0.00456918894352434,"[0.975836216839677, 0.9854094579008075, 0.9894079200307575, 0.9861399461745481, 0.9825836216839677]"
Breast Cancer,GMM,0.75,0.9886889657823914,0.0027643882546985747,"[0.9836409073433297, 0.9889850057670125, 0.9921184159938484, 0.9893886966551326, 0.9893118031526337]"
Breast Cancer,GMM,1.0,0.9929296424452133,0.0015196148345449703,"[0.9904459823144943, 0.9925990003844675, 0.9948289119569396, 0.9925990003844675, 0.9941753171856978]"
Breast Cancer,GMM,1.5,0.9971626297577856,0.0010747637854878838,"[0.9971741637831603, 0.9954632833525567, 0.9986543637062668, 0.9966935793925413, 0.9978277585544021]"
Breast Cancer,GMM,2.0,0.9986159169550172,0.0003412893659541979,"[0.9989042675893887, 0.9981737793156478, 0.9986543637062667, 0.9982891195693965, 0.9990580545943868]"
Breast Cancer,CVAE,0.0,0.734878892733564,0.015963749478059952,"[0.7466166858900423, 0.7259515570934256, 0.7590734332948866, 0.7140715109573241, 0.7286812764321414]"
Breast Cancer,CVAE,0.05,0.7315455594002307,0.013283283007411087,"[0.7460015378700499, 0.7188773548635139, 0.7483660130718957, 0.7169165705497885, 0.7275663206459053]"
Breast Cancer,CVAE,0.1,0.7112072279892351,0.010933373258524866,"[0.7151095732410612, 0.6955978469819301, 0.7290272971933871, 0.709284890426759, 0.7070165321030373]"
Breast Cancer,CVAE,0.2,0.6828911956939638,0.016221007396438687,"[0.6663014225297962, 0.7041522491349481, 0.6930795847750865, 0.6891387927720107, 0.6617839292579777]"
Breast Cancer,CVAE,0.3,0.7189004229142638,0.0111510783939781,"[0.7088235294117646, 0.721683967704729, 0.7326028450595924, 0.7280276816608996, 0.7033640907343328]"
Breast Cancer,CVAE,0.5,0.8626066897347174,0.012247232977459109,"[0.8678777393310264, 0.8553440984236833, 0.8843713956170702, 0.8530757400999616, 0.8523644752018453]"
Breast Cancer,CVAE,0.75,0.952725874663591,0.004822169885728709,"[0.9593233371780086, 0.9464244521337948, 0.9565551710880431, 0.9528835063437139, 0.9484429065743945]"
Breast Cancer,CVAE,1.0,0.980399846212995,0.002372529051635637,"[0.9804690503652441, 0.9774894271434065, 0.9824298346789696, 0.9780469050365245, 0.9835640138408305]"
Breast Cancer,CVAE,1.5,0.9934102268358325,0.0014963345190802167,"[0.9913302575932335, 0.9925413302575933, 0.9938100730488275, 0.9935217224144559, 0.995847750865052]"
Breast Cancer,CVAE,2.0,0.9971011149557862,0.0012364322179002879,"[0.9953671664744329, 0.9966743560169166, 0.9975586312956555, 0.9967704728950402, 0.9991349480968857]"
Diabetes,Bootstrap,0.0,0.7005902121403066,0.02418116708083002,"[0.6783028775467339, 0.681505986137366, 0.7441083805923125, 0.6903906742281034, 0.7086431421970174]"
Diabetes,Bootstrap,0.05,0.8455345515647974,0.012803660298307921,"[0.8404641881957573, 0.867559336273892, 0.8288594833018272, 0.849317370300357, 0.8414723797521528]"
Diabetes,Bootstrap,0.1,0.8559819365679479,0.013526812374789704,"[0.8595673177903802, 0.8789645032556186, 0.8385738290275153, 0.8551984877126655, 0.84760554505356]"
Diabetes,Bootstrap,0.2,0.8850430581810544,0.011535906104211402,"[0.8703633690401176, 0.9041062801932368, 0.8776517538332284, 0.8902436462927957, 0.8828502415458936]"
Diabetes,Bootstrap,0.3,0.9064083175803402,0.009798055291310582,"[0.903024574669187, 0.9218861583700904, 0.8915353917244276, 0.9063957151858851, 0.909199747952111]"
Diabetes,Bootstrap,0.5,0.936578449905482,0.007789980638787872,"[0.9345725687880696, 0.9494013862633901, 0.9277987817685359, 0.9302772526780088, 0.9408422600294056]"
Diabetes,Bootstrap,0.75,0.9612371350556606,0.007722939193530963,"[0.9533921445074565, 0.9744696492333542, 0.9535811804242809, 0.9628124343625288, 0.9619302667506826]"
Diabetes,Bootstrap,1.0,0.9734572568788071,0.005353812182091353,"[0.9724322621298047, 0.9785969334173494, 0.9635685780298257, 0.9771791640411678, 0.9755093467758874]"
Diabetes,Bootstrap,1.5,0.9867254778407897,0.0025940736419650585,"[0.9860323461457676, 0.9838269271161522, 0.9843940348666246, 0.9906322201218231, 0.9887418609535812]"
Diabetes,Bootstrap,2.0,0.9936946019743752,0.0015979413212251347,"[0.9915668977105649, 0.9932262129804663, 0.9926275992438564, 0.9952320940978787, 0.9958202058391092]"
Diabetes,Column-wise,0.0,0.6535118672547784,0.018620369627002354,"[0.6740495694181895, 0.645872715816005, 0.6423650493593782, 0.6763810123923546, 0.6288909892879648]"
Diabetes,Column-wise,0.05,0.9560953581180425,0.00536800779737608,"[0.959651333753413, 0.9604599873976054, 0.946208779668137, 0.9595988237765175, 0.954557865994539]"
Diabetes,Column-wise,0.1,0.957668557025835,0.006069086319836561,"[0.9597248477210669, 0.9623818525519848, 0.9466813694601974, 0.9635265700483092, 0.9560281453476162]"
Diabetes,Column-wise,0.2,0.9583826927116152,0.0071232067312732095,"[0.9625813904641882, 0.9617097248477211, 0.9476580550304557, 0.9672232724217602, 0.9527410207939507]"
Diabetes,Column-wise,0.3,0.9614408737660156,0.0076868453940442975,"[0.9668557025834907, 0.9633690401176223, 0.95574459147238, 0.9713085486242387, 0.9499264860323461]"
Diabetes,Column-wise,0.5,0.9647784078975006,0.007013217731479164,"[0.9682419659735351, 0.9701848351186726, 0.9614576769586222, 0.9714450745641672, 0.9525624868725059]"
Diabetes,Column-wise,0.75,0.9719596723377443,0.00454959239859477,"[0.9754778407897501, 0.9748582230623819, 0.9640516698172652, 0.9757929006511237, 0.9696177273682001]"
