dataset,method,run,separability_auc
Breast Cancer,Column-wise,10,0.9998768836797006
Breast Cancer,Column-wise,11,0.9999999999999999
Breast Cancer,Column-wise,12,0.9992366788141437
Breast Cancer,Column-wise,13,0.9999507534718803
Breast Cancer,Column-wise,14,1.0
Breast Cancer,Column-wise,15,0.9998030138875209
Breast Cancer,Column-wise,16,0.9999015069437605
Breast Cancer,Column-wise,17,0.9991381857579041
Breast Cancer,Column-wise,18,0.9993105486063233
Breast Cancer,Column-wise,19,1.0
Breast Cancer,Column-wise,20,0.9996552743031616
Breast Cancer,Column-wise,21,0.9996552743031616
Breast Cancer,Column-wise,22,1.0
Breast Cancer,Column-wise,23,0.9999507534718802
Breast Cancer,Column-wise,24,0.9989658229094849
Breast Cancer,Column-wise,25,1.0
Breast Cancer,Column-wise,26,0.9993597951344431
Breast Cancer,Column-wise,27,1.0
Breast Cancer,Column-wise,28,0.9999015069437605
Breast Cancer,Column-wise,29,1.0
Breast Cancer,Column-wise,30,0.9998276371515807
Breast Cancer,Column-wise,31,1.0
Breast Cancer,Column-wise,32,1.0
Breast Cancer,Column-wise,33,0.9995075347188023
Breast Cancer,Column-wise,34,0.9999507534718802
Breast Cancer,Column-wise,35,0.9999507534718802
Breast Cancer,Column-wise,36,1.0
Breast Cancer,Column-wise,37,0.9990150694376047
Breast Cancer,Column-wise,38,0.9999015069437605
Breast Cancer,Column-wise,39,0.9996552743031616
Breast Cancer,Column-wise,40,0.9998030138875209
Breast Cancer,Column-wise,41,0.9998030138875209
Breast Cancer,Column-wise,42,0.9990396927016645
Breast Cancer,Column-wise,43,0.9999015069437605
Breast Cancer,Column-wise,44,1.0
Breast Cancer,Column-wise,45,1.0
Breast Cancer,Column-wise,46,0.9995075347188023
Breast Cancer,Column-wise,47,0.9998522604156408
Breast Cancer,Column-wise,48,1.0
Breast Cancer,Column-wise,49,1.0
Breast Cancer,GMM,0,0.9889195311730523
Breast Cancer,GMM,1,0.9887964148527529
Breast Cancer,GMM,2,0.9854476509406087
Breast Cancer,GMM,3,0.9950014773958435
Breast Cancer,GMM,4,0.990914015561903
Breast Cancer,GMM,5,0.9965773662956762
Breast Cancer,GMM,6,0.9919974391805378
Breast Cancer,GMM,7,0.9899783315276273
Breast Cancer,GMM,8,0.9906924061853639
Breast Cancer,GMM,9,0.9938934305131488
Breast Cancer,GMM,10,0.9911602482025017
Breast Cancer,GMM,11,0.9916527134836993
Breast Cancer,GMM,12,0.9934748350241308
Breast Cancer,GMM,13,0.9939180537772088
Breast Cancer,GMM,14,0.99364719787255
Breast Cancer,GMM,15,0.9856200137890279
Breast Cancer,GMM,16,0.9945582586427657
Breast Cancer,GMM,17,0.9923421648773761
Breast Cancer,GMM,18,0.9979070225549099
Breast Cancer,GMM,19,0.9861124790702256
Breast Cancer,GMM,20,0.9946321284349453
Breast Cancer,GMM,21,0.9922436718211367
Breast Cancer,GMM,22,0.9935487048163104
Breast Cancer,GMM,23,0.9927607603663942
Breast Cancer,GMM,24,0.9908401457697232
Breast Cancer,GMM,25,0.9916034669555797
Breast Cancer,GMM,26,0.995518565941101
Breast Cancer,GMM,27,0.9909632620900227
Breast Cancer,GMM,28,0.9937456909287895
Breast Cancer,GMM,29,0.9937949374569093
Breast Cancer,GMM,30,0.9942627794740471
Breast Cancer,GMM,31,0.9900029547916871
Breast Cancer,GMM,32,0.9950261006599035
Breast Cancer,GMM,33,0.9873928888013395
Breast Cancer,GMM,34,0.9954693194129813
Breast Cancer,GMM,35,0.9949522308677238
Breast Cancer,GMM,36,0.9937210676647297
Breast Cancer,GMM,37,0.9949029843396041
Breast Cancer,GMM,38,0.9959125381660593
Breast Cancer,GMM,39,0.9922190485570767
Breast Cancer,GMM,40,0.9928100068945139
Breast Cancer,GMM,41,0.9889687777011721
Breast Cancer,GMM,42,0.9878607308184773
Breast Cancer,GMM,43,0.9952477100364424
Breast Cancer,GMM,44,0.9871959026888605
Breast Cancer,GMM,45,0.9884516891559146
Breast Cancer,GMM,46,0.9924406579336157
Breast Cancer,GMM,47,0.9949768541317837
Breast Cancer,GMM,48,0.9934009652319511
Breast Cancer,GMM,49,0.9963557569191371
Breast Cancer,CVAE,0,0.8500443218753079
Breast Cancer,CVAE,1,0.8143652122525362
Breast Cancer,CVAE,2,0.8426080961292228
Breast Cancer,CVAE,3,0.7784398699891658
Breast Cancer,CVAE,4,0.8086279917265833
Breast Cancer,CVAE,5,0.8564463705308775
Breast Cancer,CVAE,6,0.8172461341475425
Breast Cancer,CVAE,7,0.8352703634393774
Breast Cancer,CVAE,8,0.8083817590859845
Breast Cancer,CVAE,9,0.8034571062740076
Breast Cancer,CVAE,10,0.7942233822515512
Breast Cancer,CVAE,11,0.8093666896483798
Breast Cancer,CVAE,12,0.8161134640007879
Breast Cancer,CVAE,13,0.8019304639022948
Breast Cancer,CVAE,14,0.8340145769723235
Breast Cancer,CVAE,15,0.7742292918349256
Breast Cancer,CVAE,16,0.8530483600906136
Breast Cancer,CVAE,17,0.8340392002363833
Breast Cancer,CVAE,18,0.8263321185856398
Breast Cancer,CVAE,19,0.8529252437703143
Breast Cancer,CVAE,20,0.8509061361174037
Breast Cancer,CVAE,21,0.8339899537082636
Breast Cancer,CVAE,22,0.8534669555796316
Breast Cancer,CVAE,23,0.8246331133655076
Breast Cancer,CVAE,24,0.7919580419580419
Breast Cancer,CVAE,25,0.876711316852162
Breast Cancer,CVAE,26,0.8470895301881217
Breast Cancer,CVAE,27,0.8536146951639909
Breast Cancer,CVAE,28,0.816950654978824
Breast Cancer,CVAE,29,0.8668866344922682
Breast Cancer,CVAE,30,0.8223431498079385
Breast Cancer,CVAE,31,0.7854821235102925
Breast Cancer,CVAE,32,0.8607308184772974
Breast Cancer,CVAE,33,0.8554860632325421
Breast Cancer,CVAE,34,0.802767654880331
Breast Cancer,CVAE,35,0.8107455924357333
Breast Cancer,CVAE,36,0.8231064709937949
Breast Cancer,CVAE,37,0.8429774450901212
Breast Cancer,CVAE,38,0.8121491184871467
Breast Cancer,CVAE,39,0.8017581010538758
Breast Cancer,CVAE,40,0.8407367280606717
Breast Cancer,CVAE,41,0.8171722643553629
Breast Cancer,CVAE,42,0.7870580124101252
Breast Cancer,CVAE,43,0.8473357628287207
Breast Cancer,CVAE,44,0.7984093371417316
Breast Cancer,CVAE,45,0.8266029744902984
Breast Cancer,CVAE,46,0.775214222397321
Breast Cancer,CVAE,47,0.794075642667192
Breast Cancer,CVAE,48,0.8408105978528513
Breast Cancer,CVAE,49,0.8099084014576973
Diabetes,Bootstrap,0,0.7210557725694444
Diabetes,Bootstrap,1,0.6981065538194444
Diabetes,Bootstrap,2,0.7257351345486112
Diabetes,Bootstrap,3,0.6949734157986112
Diabetes,Bootstrap,4,0.7542588975694444
Diabetes,Bootstrap,5,0.7217068142361112
Diabetes,Bootstrap,6,0.6911078559027777
Diabetes,Bootstrap,7,0.7200792100694444
Diabetes,Bootstrap,8,0.6760796440972222
Diabetes,Bootstrap,9,0.7101372612847222
Diabetes,Bootstrap,10,0.7331407335069444
Diabetes,Bootstrap,11,0.722412109375
Diabetes,Bootstrap,12,0.7451036241319444
Diabetes,Bootstrap,13,0.7323404947916667
Diabetes,Bootstrap,14,0.6886393229166666
Diabetes,Bootstrap,15,0.7078314887152778
Diabetes,Bootstrap,16,0.7224527994791667
Diabetes,Bootstrap,17,0.6936170789930556
Diabetes,Bootstrap,18,0.7260199652777778
Diabetes,Bootstrap,19,0.7103135850694444
Diabetes,Bootstrap,20,0.7379828559027778
Diabetes,Bootstrap,21,0.7120496961805556
Diabetes,Bootstrap,22,0.7155897352430556
Diabetes,Bootstrap,23,0.7108425564236112
Diabetes,Bootstrap,24,0.7388780381944444
Diabetes,Bootstrap,25,0.7060546875
Diabetes,Bootstrap,26,0.7243787977430556
Diabetes,Bootstrap,27,0.7518446180555556
Diabetes,Bootstrap,28,0.7293836805555556
Diabetes,Bootstrap,29,0.7472737630208333
Diabetes,Bootstrap,30,0.6977267795138888
Diabetes,Bootstrap,31,0.7490098741319444
Diabetes,Bootstrap,32,0.7317030164930556
Diabetes,Bootstrap,33,0.7133382161458333
Diabetes,Bootstrap,34,0.6828748914930556
Diabetes,Bootstrap,35,0.6891818576388888
Diabetes,Bootstrap,36,0.7255045572916667
Diabetes,Bootstrap,37,0.7250840928819444
Diabetes,Bootstrap,38,0.6738416883680556
