dataset,method,n_features_removed,n_features_retained,auc_mean,auc_sd,auc_values
HIV,GMM,44,19,0.6801984877126654,0.07593932712659744,"[0.7419659735349716, 0.5113421550094518, 0.6710775047258979, 0.6162570888468809, 0.7051039697542533, 0.7344045368620038, 0.7901701323251418, 0.7580340264650283, 0.5283553875236295, 0.6805293005671077, 0.7391304347826086, 0.6550094517958411, 0.6134215500945179, 0.7939508506616257, 0.6266540642722117, 0.6814744801512288, 0.7372400756143667, 0.7230623818525519, 0.6843100189035917, 0.6124763705103969]"
HIV,GMM,52,11,0.6406427221172024,0.06120619849558746,"[0.6474480151228733, 0.5982986767485823, 0.6455576559546314, 0.6616257088846882, 0.670132325141777, 0.6871455576559546, 0.6918714555765595, 0.6181474480151229, 0.607750472589792, 0.5888468809073725, 0.7608695652173914, 0.6124763705103969, 0.6351606805293005, 0.781663516068053, 0.5094517958412098, 0.5926275992438563, 0.6918714555765596, 0.6049149338374291, 0.5775047258979207, 0.6294896030245747]"
HIV,GMM,61,2,0.5855387523629488,0.06687738356031742,"[0.5302457466918714, 0.5217391304347826, 0.6455576559546313, 0.7561436672967864, 0.5803402646502835, 0.6049149338374291, 0.6568998109640831, 0.5009451795841209, 0.5718336483931947, 0.5245746691871456, 0.5784499054820416, 0.6266540642722117, 0.505671077504726, 0.5718336483931947, 0.6540642722117203, 0.5207939508506616, 0.6767485822306238, 0.504725897920605, 0.5671077504725899, 0.611531190926276]"
HIV,CVAE,0,63,0.9854442344045369,0.010172872625386546,"[0.9886578449905482, 0.9792060491493384, 0.9848771266540643, 0.9962192816635161, 0.9924385633270322, 0.9706994328922496, 1.0, 0.9943289224952742, 0.9962192816635161, 0.9886578449905482, 0.9839319470699432, 0.9877126654064272, 0.994328922495274, 0.9924385633270322, 0.9924385633270322, 0.9735349716446124, 0.9792060491493384, 0.9829867674858223, 0.9706994328922496, 0.9603024574669188]"
HIV,CVAE,9,54,0.9630907372400758,0.022153273463087618,"[0.9792060491493384, 0.9442344045368619, 0.9735349716446124, 0.9905482041587902, 0.9574669187145558, 0.9187145557655955, 0.9848771266540643, 0.9593572778827977, 0.9773156899810964, 0.9848771266540642, 0.9508506616257089, 0.9650283553875237, 0.9810964083175804, 0.994328922495274, 0.9952741020793952, 0.9281663516068054, 0.9395085066162571, 0.943289224952741, 0.947069943289225, 0.9470699432892249]"
HIV,CVAE,17,46,0.9211720226843101,0.037396636730066504,"[0.9565217391304348, 0.9224952741020794, 0.9395085066162571, 0.9659735349716446, 0.889413988657845, 0.833648393194707, 0.9565217391304348, 0.9432892249527409, 0.9130434782608695, 0.9574669187145557, 0.9073724007561437, 0.8809073724007561, 0.9319470699432892, 0.9962192816635161, 0.9470699432892249, 0.8941398865784499, 0.9092627599243857, 0.8667296786389415, 0.9007561436672967, 0.9111531190926276]"
HIV,CVAE,26,37,0.8983931947069943,0.03699807660878987,"[0.9291115311909263, 0.9102079395085066, 0.941398865784499, 0.9347826086956521, 0.8449905482041588, 0.8393194706994329, 0.9253308128544423, 0.9054820415879017, 0.8837429111531191, 0.9376181474480152, 0.8846880907372401, 0.8733459357277883, 0.9073724007561437, 0.9744801512287335, 0.9168241965973535, 0.8393194706994329, 0.9054820415879017, 0.8431001890359168, 0.8979206049149338, 0.8733459357277883]"
HIV,CVAE,35,28,0.8714555765595462,0.049730280479037534,"[0.8998109640831757, 0.8931947069943289, 0.9035916824196597, 0.8960302457466918, 0.7627599243856332, 0.8232514177693762, 0.8931947069943288, 0.8875236294896031, 0.8998109640831758, 0.8922495274102079, 0.8629489603024575, 0.833648393194707, 0.9603024574669188, 0.9470699432892249, 0.8913043478260869, 0.7939508506616256, 0.8913043478260869, 0.8062381852551984, 0.883742911153119, 0.8071833648393194]"
HIV,CVAE,44,19,0.8426275992438563,0.0591968471170149,"[0.8742911153119093, 0.8827977315689981, 0.8497164461247637, 0.885633270321361, 0.7523629489603025, 0.7854442344045369, 0.8610586011342155, 0.8960302457466918, 0.8478260869565218, 0.8620037807183365, 0.9045368620037807, 0.7589792060491494, 0.952741020793951, 0.9120982986767485, 0.8780718336483931, 0.7693761814744802, 0.8478260869565217, 0.7306238185255198, 0.8052930056710775, 0.7958412098298677]"
HIV,CVAE,52,11,0.8045841209829868,0.06738863644941716,"[0.8516068052930057, 0.8468809073724007, 0.7920604914933838, 0.7939508506616256, 0.6937618147448015, 0.8090737240075614, 0.829867674858223, 0.8412098298676748, 0.8241965973534972, 0.8846880907372401, 0.8478260869565217, 0.7504725897920604, 0.9035916824196597, 0.9177693761814746, 0.8487712665406427, 0.6862003780718335, 0.7769376181474481, 0.6729678638941399, 0.7570888468809074, 0.7627599243856333]"
HIV,CVAE,61,2,0.7238657844990549,0.06063625386238808,"[0.833648393194707, 0.7098298676748582, 0.7221172022684309, 0.776937618147448, 0.7722117202268431, 0.7466918714555767, 0.772211720226843, 0.7448015122873346, 0.6465028355387523, 0.8733459357277883, 0.6275992438563327, 0.6795841209829867, 0.7344045368620038, 0.6446124763705103, 0.6928166351606804, 0.660680529300567, 0.7258979206049149, 0.7098298676748582, 0.6824196597353497, 0.72117202268431]"
Breast Cancer,Bootstrap,0,30,0.7149684822220035,0.017665296813737012,"[0.7301536491677336, 0.7369989165763813, 0.7107258938244854, 0.7076726090810598, 0.6981187826258248, 0.7258692012213139, 0.7195163990938639, 0.6889589283955482, 0.7368511769920221, 0.7195656456219837, 0.7264847828228109, 0.6999655274303161, 0.6935634787747464, 0.7236531074559244, 0.6884910863784104, 0.6981926524180045, 0.7397567221510883, 0.729242588397518, 0.6887865655471289, 0.7368019304639023]"
Breast Cancer,Bootstrap,4,26,0.7197207721855609,0.01699910704572787,"[0.7394612429823697, 0.7444351423224662, 0.7193932827735645, 0.711021372993204, 0.6997439180537772, 0.7349798089234709, 0.7245887914902, 0.6942283069043633, 0.7382300797793755, 0.7246380380183197, 0.7364818280311238, 0.7125233921008569, 0.6979956663055255, 0.726903378311829, 0.6959273121244952, 0.6961735447650941, 0.7380823401950163, 0.7244164286417807, 0.6990790899241603, 0.7361124790702256]"
